tag_count,is_answered,is_closed,view_count,answer_count,last_edit_date,score,percentage
5,0,1.0,4,0,1,0,6.2
4,0,1.0,3,0,0,0,9.9
3,0,1.0,3,0,0,0,8.9
4,0,1.0,8,0,0,0,11.4
1,0,1.0,8,0,1,0,3.4
4,0,1.0,8,0,1,0,6.4
3,1,1.0,100,3,0,0,49.0
2,0,1.0,9,0,0,0,9.7
4,0,1.0,3,0,0,0,9.9
3,0,1.0,22,1,1,0,11.6
3,0,1.0,9,0,1,0,5.699999999999999
2,0,1.0,9,0,0,1,10.1
3,1,1.0,100,3,1,7,46.8
2,0,1.0,11,1,0,0,12.3
3,0,1.0,9,0,1,0,5.699999999999999
5,0,1.0,6,0,0,0,11.8
1,0,1.0,4,0,0,0,7.2
1,0,1.0,8,1,1,0,5.4
2,0,1.0,6,0,0,0,8.8
4,0,1.0,14,0,0,0,13.2
5,0,1.0,3,0,0,0,10.9
2,0,1.0,16,0,1,0,6.8
5,0,1.0,3,0,0,0,10.9
3,0,1.0,8,0,0,0,10.4
2,0,1.0,3,0,0,0,7.9
2,0,1.0,7,0,0,0,9.1
4,0,1.0,14,2,0,0,17.2
4,0,1.0,10,1,0,0,14.0
5,0,1.0,4,0,0,0,11.2
3,0,1.0,10,0,0,0,11.0
5,0,1.0,11,0,0,0,13.3
3,0,1.0,5,0,1,0,4.5
3,0,1.0,16,1,0,0,14.8
3,0,1.0,12,1,0,0,13.6
5,1,1.0,14,1,0,0,21.2
4,0,1.0,12,0,1,1,8.0
3,1,1.0,32,1,1,1,20.0
1,0,1.0,4,0,0,0,7.2
5,0,1.0,16,1,1,0,11.8
4,0,1.0,5,0,0,0,10.5
3,0,1.0,14,1,1,0,9.2
4,0,1.0,21,2,1,0,14.3
3,1,1.0,14,1,0,0,19.2
3,1,1.0,32,2,1,1,22.0
5,1,1.0,29,2,1,1,23.099999999999998
5,0,1.0,100,2,0,0,44.0
1,0,1.0,12,0,1,0,4.6
4,0,1.0,6,0,0,0,10.8
3,0,1.0,7,0,1,0,5.1
2,0,1.0,45,0,1,0,15.5
4,0,1.0,4,0,0,0,10.2
2,1,1.0,24,1,1,0,16.2
3,0,1.0,4,0,0,0,9.2
1,1,1.0,44,5,0,0,34.2
5,0,1.0,3,0,0,0,10.9
4,0,1.0,18,1,0,0,16.4
3,0,1.0,9,1,0,0,12.7
3,0,1.0,28,0,1,0,11.4
2,0,1.0,4,0,0,0,8.2
1,0,1.0,8,0,0,0,8.4
2,1,1.0,100,5,1,83,80.2
1,0,0.0,16,0,0,0,15.8
2,0,1.0,5,0,0,0,8.5
3,0,1.0,14,0,1,0,7.2
1,0,1.0,8,0,1,0,3.4
4,0,1.0,34,1,0,1,21.599999999999998
2,0,1.0,17,2,1,0,11.1
5,0,1.0,4,0,0,0,11.2
5,0,1.0,7,0,0,0,12.1
3,0,1.0,17,1,1,0,10.1
3,1,0.0,24,1,0,0,27.2
5,0,1.0,3,0,0,0,10.9
2,1,1.0,100,5,1,13,52.2
3,0,1.0,6,0,0,0,9.8
4,0,1.0,100,1,1,1,36.4
2,0,1.0,5,0,0,0,8.5
2,0,1.0,3,0,0,0,7.9
2,1,1.0,100,5,1,100,87.0
4,0,1.0,10,0,0,0,12.0
5,0,1.0,5,0,0,0,11.5
5,0,1.0,3,0,0,0,10.9
2,1,1.0,19,2,0,0,21.7
4,1,1.0,15,2,0,0,22.5
3,0,1.0,12,1,1,0,8.6
2,1,1.0,40,2,1,0,23.0
5,0,1.0,59,2,1,2,27.5
2,0,1.0,12,1,0,0,12.6
2,0,1.0,34,0,1,1,12.6
2,1,1.0,100,5,1,32,59.8
1,0,1.0,4,0,0,0,7.2
1,0,1.0,4,0,0,0,7.2
5,0,1.0,12,1,0,0,15.6
4,0,1.0,10,1,1,0,9.0
3,1,1.0,12,2,1,0,15.6
2,1,1.0,80,2,1,1,35.4
1,1,1.0,16,1,0,0,17.8
5,0,1.0,13,2,0,0,17.9
1,0,1.0,10,0,0,0,9.0
4,0,1.0,24,1,1,0,13.2
5,0,1.0,3,0,0,0,10.9
1,0,1.0,5,0,0,0,7.5
5,0,1.0,7,0,0,0,12.1
3,1,1.0,10,1,0,0,18.0
2,0,1.0,49,2,0,1,26.099999999999998
3,0,1.0,20,0,1,0,9.0
4,0,1.0,3,0,0,0,9.9
1,0,1.0,5,0,0,0,7.5
1,0,1.0,7,0,1,0,3.1
5,0,1.0,20,1,0,0,18.0
2,0,1.0,85,0,1,3,28.7
4,0,1.0,3,0,0,0,9.9
2,0,1.0,7,0,1,0,4.1
3,1,1.0,100,5,1,73,77.2
5,0,1.0,6,0,0,0,11.8
3,0,1.0,31,1,1,0,14.299999999999999
4,1,0.0,13,1,0,1,25.299999999999997
4,0,1.0,7,0,1,0,6.1
2,0,1.0,5,0,0,0,8.5
4,0,1.0,4,0,0,0,10.2
2,0,1.0,9,0,1,0,4.699999999999999
5,0,1.0,33,1,1,0,16.9
4,1,1.0,100,4,1,11,51.4
3,0,1.0,28,2,1,0,15.4
2,0,1.0,18,1,0,1,14.799999999999999
2,0,1.0,12,1,1,0,7.6
2,0,1.0,3,0,0,0,7.9
2,0,1.0,3,0,0,0,7.9
5,0,1.0,6,0,0,0,11.8
4,0,1.0,5,1,0,0,12.5
1,0,1.0,8,0,0,0,8.4
2,1,1.0,100,2,1,1,41.4
4,0,1.0,12,1,0,0,14.6
2,1,1.0,25,1,0,0,21.5
5,0,1.0,5,0,0,0,11.5
4,1,1.0,21,2,0,1,24.7
4,0,1.0,11,0,1,1,7.7
3,0,1.0,4,0,0,0,9.2
2,0,1.0,14,0,1,0,6.2
1,0,1.0,8,0,0,0,8.4
4,0,1.0,9,0,0,0,11.7
2,0,1.0,11,0,1,0,5.3
4,1,1.0,100,5,1,19,56.6
4,0,1.0,50,3,1,0,25.0
1,1,0.0,18,1,0,0,23.4
5,0,1.0,21,1,0,0,18.3
4,0,1.0,59,1,1,0,23.7
5,0,1.0,12,0,1,0,8.6
3,1,1.0,22,1,0,0,21.6
3,0,1.0,12,1,0,0,13.6
2,0,1.0,5,0,0,0,8.5
1,0,0.0,18,0,1,0,11.399999999999999
2,0,1.0,8,0,0,0,9.4
5,0,1.0,7,0,1,0,7.1
1,1,1.0,100,5,1,63,71.2
2,0,1.0,18,1,0,0,14.399999999999999
4,0,1.0,67,1,1,0,26.099999999999998
4,0,1.0,22,2,1,0,14.6
1,0,1.0,8,0,0,0,8.4
4,1,1.0,23,1,0,1,23.299999999999997
2,1,1.0,100,4,0,3,51.2
4,0,1.0,19,0,1,0,9.7
3,0,1.0,17,0,1,0,8.1
1,0,1.0,7,0,1,0,3.1
5,0,1.0,9,0,0,0,12.7
3,0,1.0,5,0,0,1,9.9
3,1,1.0,13,1,0,1,19.299999999999997
1,0,1.0,6,0,0,0,7.8
2,0,1.0,12,0,1,0,5.6
4,0,1.0,9,0,1,0,6.699999999999999
2,0,1.0,20,1,1,0,10.0
3,1,1.0,23,2,1,0,18.9
2,1,0.0,23,1,0,0,25.9
4,0,1.0,8,1,0,0,13.4
4,0,1.0,13,1,0,0,14.9
2,0,1.0,7,1,0,0,11.1
5,0,1.0,6,0,1,0,6.8
4,0,1.0,6,0,0,0,10.8
4,1,1.0,9,1,1,0,13.7
3,0,1.0,30,1,1,0,14.0
4,0,1.0,12,1,0,0,14.6
3,1,1.0,100,5,0,34,66.6
4,1,1.0,27,1,0,0,24.1
4,1,1.0,29,3,0,1,29.099999999999998
1,0,1.0,7,1,0,0,10.1
4,0,1.0,8,0,1,0,6.4
4,1,1.0,27,1,0,0,24.1
4,1,1.0,29,3,0,1,29.099999999999998
1,0,1.0,7,1,0,0,10.1
4,0,1.0,8,0,1,0,6.4
4,0,0.0,22,1,0,0,22.6
1,0,1.0,3,0,0,0,6.9
3,0,1.0,7,0,0,0,10.1
3,1,1.0,100,2,0,2,47.8
2,1,1.0,34,1,1,0,19.2
4,1,1.0,36,2,1,0,23.799999999999997
2,0,1.0,5,0,0,1,8.9
3,0,1.0,14,0,0,0,12.2
3,0,1.0,32,1,1,0,14.6
3,1,0.0,23,1,0,0,26.9
5,0,1.0,4,0,0,0,11.2
3,1,1.0,17,1,1,1,15.5
4,0,1.0,13,1,1,0,9.9
2,0,1.0,10,0,1,0,5.0
5,0,1.0,3,0,0,0,10.9
2,0,1.0,4,0,0,0,8.2
3,0,1.0,27,2,1,0,15.1
5,0,1.0,23,1,1,0,13.899999999999999
2,0,1.0,7,0,0,0,9.1
5,0,1.0,4,0,0,0,11.2
5,0,1.0,7,0,1,0,7.1
4,0,1.0,4,0,0,0,10.2
2,0,1.0,17,0,1,0,7.1
4,0,1.0,20,1,1,0,12.0
5,1,1.0,56,3,1,0,32.8
2,0,1.0,13,0,1,0,5.9
5,0,1.0,28,2,1,0,17.4
3,0,1.0,9,0,0,0,10.7
5,0,1.0,5,0,0,0,11.5
3,1,1.0,100,3,1,0,44.0
5,0,1.0,12,1,1,0,10.6
4,1,1.0,61,2,1,0,31.3
2,0,1.0,6,0,0,0,8.8
3,0,1.0,5,0,0,0,9.5
4,1,1.0,100,2,1,5,45.0
3,1,1.0,16,2,0,1,22.2
5,1,1.0,100,2,1,8,47.2
3,1,1.0,23,1,1,0,16.9
1,1,1.0,47,3,0,0,31.1
5,0,1.0,8,0,1,0,7.4
4,0,1.0,5,0,0,0,10.5
3,0,1.0,18,0,0,0,13.399999999999999
2,0,1.0,7,0,1,0,4.1
5,0,1.0,18,0,1,0,10.399999999999999
5,1,1.0,26,2,0,0,26.8
2,0,1.0,9,0,0,0,9.7
2,1,1.0,100,5,1,85,81.0
3,0,1.0,5,0,0,0,9.5
2,1,1.0,32,1,0,0,23.6
3,0,1.0,7,0,1,0,5.1
1,0,1.0,6,0,0,0,7.8
3,0,1.0,14,1,0,0,14.2
2,0,1.0,5,0,0,0,8.5
2,0,1.0,4,0,0,0,8.2
3,0,1.0,24,2,1,0,14.2
3,0,1.0,9,0,1,0,5.699999999999999
2,0,1.0,7,0,0,0,9.1
5,0,1.0,6,0,0,0,11.8
3,0,1.0,13,0,1,0,6.9
4,0,1.0,14,1,1,0,10.2
3,0,1.0,9,0,0,0,10.7
2,0,1.0,21,1,0,0,15.3
3,0,1.0,46,0,1,0,16.799999999999997
4,0,1.0,100,1,1,0,36.0
5,0,1.0,4,0,0,0,11.2
2,0,1.0,20,0,1,0,8.0
3,0,1.0,9,0,1,0,5.699999999999999
3,1,1.0,40,2,0,0,29.0
2,0,1.0,12,0,0,0,10.6
2,0,1.0,4,0,0,0,8.2
2,0,1.0,7,0,0,0,9.1
2,0,1.0,33,1,0,0,18.9
4,0,1.0,11,1,1,0,9.3
2,0,1.0,15,1,1,0,8.5
1,1,1.0,39,2,1,1,22.099999999999998
3,1,1.0,13,1,0,0,18.9
2,0,1.0,20,0,1,0,8.0
5,0,1.0,4,0,0,0,11.2
3,1,1.0,16,2,0,0,21.8
2,0,0.0,8,0,0,0,14.4
5,1,1.0,100,5,1,15,56.0
4,0,1.0,8,1,0,1,13.8
4,0,1.0,22,2,0,0,19.6
5,0,1.0,7,0,0,0,12.1
3,0,1.0,9,0,1,0,5.699999999999999
2,0,0.0,13,0,1,0,10.9
3,0,1.0,8,0,0,0,10.4
4,1,1.0,27,2,1,0,21.1
3,0,1.0,7,0,1,0,5.1
3,0,0.0,21,0,1,0,14.3
1,1,1.0,17,1,1,1,13.5
3,0,1.0,6,0,0,1,10.200000000000001
2,0,1.0,8,1,0,0,11.4
2,0,0.0,15,0,1,0,11.5
2,0,1.0,18,0,1,0,7.3999999999999995
5,0,1.0,7,0,1,0,7.1
2,0,1.0,18,0,1,0,7.3999999999999995
5,0,1.0,7,0,1,0,7.1
2,0,1.0,11,1,1,0,7.3
2,0,1.0,9,1,0,0,11.7
3,1,1.0,100,5,1,22,56.8
2,0,1.0,12,1,0,0,12.6
2,0,1.0,12,0,1,0,5.6
3,1,1.0,26,1,1,0,17.8
4,1,1.0,100,2,0,5,50.0
2,0,1.0,10,0,1,0,5.0
3,0,1.0,3,0,0,0,8.9
1,0,1.0,4,0,0,0,7.2
4,1,1.0,54,1,1,0,27.2
3,1,1.0,100,2,1,1,42.4
4,0,1.0,7,0,0,0,11.1
3,0,1.0,22,1,0,0,16.6
5,1,1.0,100,1,1,9,45.6
3,1,1.0,24,1,1,1,17.599999999999998
3,0,1.0,11,0,1,0,6.3
4,1,1.0,19,1,1,1,17.099999999999998
3,0,1.0,37,3,1,0,20.1
3,0,1.0,18,2,0,1,17.799999999999997
4,0,1.0,12,1,0,0,14.6
2,0,1.0,39,1,1,1,16.099999999999998
1,0,1.0,30,0,1,1,10.4
4,0,0.0,9,1,0,0,18.7
2,0,1.0,9,1,0,0,11.7
3,0,0.0,13,1,0,0,18.9
4,0,1.0,12,0,1,0,7.6
3,0,1.0,23,1,0,0,16.9
1,1,1.0,29,1,0,0,21.7
3,0,1.0,6,0,0,0,9.8
5,0,1.0,24,0,1,2,13.0
4,1,1.0,100,2,0,3,49.2
3,0,1.0,11,0,1,0,6.3
5,1,1.0,100,5,1,4,51.6
1,0,1.0,4,0,0,0,7.2
2,1,1.0,26,2,0,0,23.8
5,1,1.0,100,5,1,40,66.0
3,0,1.0,8,0,1,0,5.4
3,1,1.0,17,1,1,0,15.1
3,0,1.0,10,0,0,0,11.0
3,0,1.0,3,0,0,0,8.9
4,0,1.0,6,0,0,0,10.8
5,0,1.0,5,0,0,1,11.9
5,0,1.0,7,1,0,0,14.1
3,1,1.0,34,1,0,0,25.2
3,0,1.0,21,0,1,0,9.3
3,0,1.0,3,0,0,0,8.9
3,0,1.0,23,0,1,0,9.899999999999999
1,0,1.0,4,0,1,0,2.2
3,0,0.0,11,0,1,0,11.3
3,0,1.0,4,0,0,0,9.2
5,0,1.0,3,0,0,0,10.9
3,0,1.0,100,2,1,0,37.0
5,0,1.0,14,0,1,0,9.2
4,1,1.0,100,5,0,93,91.2
2,0,1.0,24,1,0,0,16.2
2,0,1.0,23,1,0,0,15.899999999999999
4,1,1.0,13,1,0,1,20.299999999999997
3,0,1.0,23,1,1,1,12.299999999999999
2,0,0.0,11,0,0,0,15.3
1,0,1.0,20,1,0,0,14.0
5,1,1.0,16,2,0,0,23.8
3,0,1.0,100,4,1,1,41.4
4,1,1.0,11,1,0,1,19.7
2,0,0.0,17,0,1,0,12.1
3,0,1.0,25,1,0,0,17.5
4,0,1.0,7,0,0,0,11.1
2,0,1.0,4,0,0,0,8.2
4,0,1.0,12,1,1,0,9.6
4,0,1.0,10,0,0,0,12.0
5,0,1.0,19,0,1,0,10.7
2,0,1.0,5,1,0,0,10.5
4,0,1.0,8,1,0,0,13.4
5,0,1.0,5,0,0,0,11.5
2,0,1.0,13,1,0,0,12.9
3,1,1.0,100,5,1,5,50.0
2,1,1.0,13,1,0,0,17.9
3,0,1.0,48,2,1,0,21.4
2,0,1.0,23,0,0,0,13.899999999999999
2,0,1.0,4,0,0,0,8.2
1,0,1.0,27,0,1,0,9.1
3,0,1.0,8,0,0,0,10.4
3,0,1.0,9,0,1,0,5.699999999999999
1,1,1.0,17,2,1,0,15.1
1,0,1.0,5,0,0,0,7.5
2,1,0.0,31,1,0,0,28.299999999999997
3,0,1.0,9,1,0,0,12.7
3,1,1.0,100,2,1,0,42.0
4,0,1.0,30,0,1,0,13.0
2,1,1.0,27,1,0,0,22.1
1,0,1.0,100,2,0,0,40.0
3,0,1.0,100,5,1,0,43.0
2,0,1.0,100,5,0,3,48.2
2,0,1.0,100,1,1,3,35.2
2,0,1.0,16,0,1,0,6.8
4,1,1.0,43,1,0,1,29.299999999999997
1,0,1.0,22,0,1,0,7.6
2,1,1.0,26,3,0,1,26.2
1,0,1.0,22,0,1,0,7.6
2,1,1.0,26,3,0,1,26.2
2,0,1.0,17,0,1,0,7.1
2,0,1.0,6,1,0,0,10.8
2,0,1.0,13,0,0,0,10.9
2,1,1.0,100,5,1,32,59.8
5,0,1.0,23,1,1,1,14.299999999999999
3,0,0.0,5,0,1,0,9.5
1,0,0.0,19,0,0,0,16.7
3,0,1.0,38,0,1,0,14.4
2,0,1.0,27,1,1,0,12.1
2,1,1.0,13,2,1,1,15.3
2,0,1.0,12,0,1,0,5.6
2,0,1.0,5,0,0,0,8.5
3,1,1.0,100,5,0,54,74.6
4,0,1.0,11,0,1,0,7.3
1,0,1.0,4,0,0,0,7.2
2,0,1.0,5,0,0,0,8.5
3,0,1.0,24,2,1,0,14.2
2,0,1.0,13,0,1,0,5.9
5,0,1.0,4,0,0,0,11.2
3,0,1.0,6,0,1,0,4.8
4,1,1.0,100,1,1,1,41.4
4,0,1.0,32,1,0,0,20.6
1,0,1.0,17,0,1,0,6.1
5,0,1.0,11,0,1,0,8.3
5,0,1.0,3,0,0,0,10.9
2,0,1.0,4,0,0,0,8.2
2,1,1.0,16,2,0,1,21.2
5,0,1.0,31,2,1,0,18.299999999999997
4,0,1.0,18,1,1,0,11.399999999999999
3,1,1.0,100,3,1,0,44.0
5,1,1.0,100,4,0,17,59.8
4,0,1.0,8,0,0,0,11.4
3,0,1.0,4,0,0,0,9.2
4,0,0.0,19,1,1,0,16.7
1,0,1.0,4,0,0,0,7.2
2,0,1.0,12,0,1,1,6.0
2,0,1.0,8,0,0,0,9.4
5,0,1.0,14,0,1,1,9.6
2,0,1.0,5,0,0,0,8.5
2,0,1.0,27,0,1,0,10.1
4,1,1.0,10,1,0,0,19.0
5,0,1.0,17,1,1,1,12.5
4,0,1.0,19,2,0,0,18.7
2,0,1.0,18,0,1,0,7.3999999999999995
2,1,1.0,41,3,0,0,30.299999999999997
3,0,1.0,5,0,1,0,4.5
4,0,1.0,9,0,1,0,6.699999999999999
3,0,1.0,10,0,1,0,6.0
5,0,1.0,4,0,0,0,11.2
3,0,1.0,28,3,0,1,22.799999999999997
2,0,1.0,8,0,0,0,9.4
3,0,1.0,8,1,0,0,12.4
3,0,1.0,28,1,1,1,13.8
1,0,1.0,10,0,1,0,4.0
4,1,1.0,26,1,0,0,23.8
3,0,1.0,29,2,0,0,20.7
2,0,1.0,28,1,0,0,17.4
3,0,1.0,4,0,0,0,9.2
5,0,1.0,12,1,0,0,15.6
3,0,1.0,7,0,0,0,10.1
5,0,1.0,17,0,1,0,10.1
3,0,1.0,6,0,0,0,9.8
2,1,1.0,100,4,1,41,61.400000000000006
3,0,1.0,18,0,1,0,8.399999999999999
3,0,1.0,6,0,0,0,9.8
3,0,1.0,22,1,0,0,16.6
2,0,1.0,15,0,1,0,6.5
5,0,0.0,12,0,0,0,18.6
2,0,1.0,6,0,0,0,8.8
3,1,1.0,54,3,1,1,30.599999999999998
4,0,1.0,9,0,1,0,6.699999999999999
4,1,1.0,31,1,0,0,25.299999999999997
2,1,1.0,20,1,0,0,20.0
3,0,1.0,5,0,0,0,9.5
3,0,1.0,2,0,0,0,8.6
2,1,1.0,27,2,0,0,24.1
3,0,1.0,9,0,0,0,10.7
3,1,1.0,11,1,0,0,18.3
2,0,1.0,5,0,0,0,8.5
3,0,1.0,33,1,1,0,14.9
3,1,1.0,11,1,0,1,18.7
2,0,0.0,8,0,1,0,9.4
5,1,1.0,100,5,1,100,90.0
1,0,1.0,7,1,0,0,10.1
3,1,1.0,15,1,0,0,19.5
2,0,1.0,4,0,0,0,8.2
2,0,1.0,31,1,1,0,13.299999999999999
3,0,1.0,8,0,1,0,5.4
4,0,1.0,28,1,1,1,14.8
4,1,1.0,12,1,0,1,20.0
2,1,1.0,100,2,1,0,41.0
3,0,1.0,46,0,1,0,16.799999999999997
1,0,1.0,8,1,0,0,10.4
4,0,1.0,6,1,0,0,12.8
2,1,1.0,100,5,1,29,58.6
2,0,1.0,17,0,1,0,7.1
4,0,1.0,10,0,0,0,12.0
3,0,1.0,8,0,0,0,10.4
3,0,1.0,6,0,0,0,9.8
5,0,1.0,10,0,1,0,8.0
4,0,1.0,16,0,1,1,9.200000000000001
4,0,1.0,9,0,1,0,6.699999999999999
2,1,0.0,26,2,1,0,23.8
1,1,0.0,18,1,0,0,23.4
4,1,1.0,100,1,0,2,46.8
3,0,1.0,8,0,0,0,10.4
1,1,1.0,17,1,1,0,13.1
5,0,1.0,23,1,1,0,13.899999999999999
5,0,1.0,13,1,1,0,10.9
2,0,1.0,29,1,1,0,12.7
1,1,1.0,29,1,1,1,17.099999999999998
2,0,1.0,28,1,1,0,12.4
2,1,1.0,32,1,1,1,19.0
5,0,1.0,12,0,0,0,13.6
4,0,1.0,100,1,0,0,41.0
3,0,1.0,20,0,1,0,9.0
4,1,1.0,23,2,0,0,24.9
4,1,1.0,24,1,1,1,18.599999999999998
3,0,0.0,7,0,1,0,10.1
1,1,1.0,100,3,1,2,42.8
1,0,1.0,4,0,0,0,7.2
4,1,1.0,100,5,1,100,89.0
3,1,1.0,56,1,1,1,27.2
3,0,1.0,11,0,0,0,11.3
4,0,1.0,15,0,1,0,8.5
4,1,1.0,30,2,1,1,22.4
4,0,1.0,7,0,0,0,11.1
4,0,1.0,26,0,0,0,16.8
1,0,1.0,46,1,1,0,16.799999999999997
5,1,1.0,38,1,1,0,23.4
2,0,0.0,12,0,1,0,10.6
4,0,1.0,5,0,0,0,10.5
3,1,1.0,18,1,1,0,15.399999999999999
4,1,1.0,19,2,1,2,19.5
4,0,1.0,9,0,0,0,11.7
3,0,1.0,7,0,0,0,10.1
5,0,1.0,8,0,0,0,12.4
5,0,1.0,58,1,1,1,24.799999999999997
4,0,1.0,8,0,1,0,6.4
4,1,1.0,100,3,1,4,46.6
5,0,1.0,27,1,1,0,15.1
4,0,1.0,40,1,1,1,18.4
3,0,1.0,5,0,0,0,9.5
2,1,1.0,27,1,0,1,22.5
1,0,1.0,5,0,0,0,7.5
4,1,1.0,100,1,1,10,45.0
4,0,1.0,14,1,1,0,10.2
1,0,1.0,10,0,1,0,4.0
3,1,1.0,100,5,1,5,50.0
2,0,1.0,5,0,0,0,8.5
3,1,1.0,100,2,0,5,49.0
2,0,1.0,20,1,1,0,10.0
4,0,1.0,8,0,0,0,11.4
2,0,1.0,9,1,0,0,11.7
3,0,1.0,13,0,1,0,6.9
2,0,1.0,7,0,0,0,9.1
3,1,1.0,13,2,1,0,15.9
2,0,1.0,3,0,0,0,7.9
3,0,0.0,26,1,1,0,17.8
5,1,1.0,100,2,1,2,44.8
5,0,1.0,7,0,0,0,12.1
2,0,1.0,15,1,1,0,8.5
4,0,1.0,33,0,1,0,13.9
3,1,1.0,100,5,1,91,84.4
5,0,1.0,14,1,0,0,16.2
2,0,1.0,30,1,1,0,13.0
1,0,1.0,22,2,0,0,16.6
4,1,1.0,100,5,1,100,89.0
4,0,1.0,17,0,1,0,9.1
2,1,1.0,100,4,0,0,50.0
5,0,1.0,4,0,0,0,11.2
3,0,1.0,5,0,0,0,9.5
2,0,1.0,16,1,0,0,13.8
2,0,1.0,6,0,0,0,8.8
4,0,1.0,10,0,1,0,7.0
2,0,1.0,7,1,0,0,11.1
2,0,1.0,16,1,0,0,13.8
4,1,1.0,100,3,0,3,51.2
3,0,1.0,19,1,1,0,10.7
2,0,1.0,9,1,0,1,12.1
